sr.,State,District,Taluka
157,Gujarat,Navsari,Khergam
158,Gujarat,Navsari,Jalalpore
159,Gujarat,Navsari,Chikhli
160,Gujarat,Navsari,Vansada
161,Gujarat,Navsari,Gandevi
162,Gujarat,Panchmahal,Khanpur
163,Gujarat,Panchmahal,Kadana
164,Gujarat,Panchmahal,Santrampur
165,Gujarat,Panchmahal,Lunawada
5791,Tamil Nadu,Chidambaram,Chidambaram
167,Gujarat,Panchmahal,Morava
168,Gujarat,Panchmahal,Godhra
169,Gujarat,Panchmahal,Kalol
170,Gujarat,Panchmahal,Dhodhanba
171,Gujarat,Panchmahal,Halol
172,Gujarat,Panchmahal,Jambudhoda
173,Gujarat,Patan,Sidhpur
174,Gujarat,Patan,Saraswati
175,Gujarat,Patan,Chanasma
176,Gujarat,Patan,Harij
177,Gujarat,Patan,Sami
178,Gujarat,Patan,Shankhesvar
179,Gujarat,Patan,Radhanpur
180,Gujarat,Patan,Santalpur
181,Gujarat,Porbandar,Ranavav
182,Gujarat,Porbandar,Kutiyana
183,Gujarat,Rajkot,Lodhika
184,Gujarat,Rajkot,Kotda Sangani
185,Gujarat,Rajkot,Jasdan
186,Gujarat,Rajkot,Vinchhiya
187,Gujarat,Rajkot,Paddhari
188,Gujarat,Rajkot,Gondal
190,Gujarat,Rajkot,Dhoraji
191,Gujarat,Rajkot,Upleta
192,Gujarat,Rajkot,Jam kandorana
193,Gujarat,Sabarkantha,Himatnagar
194,Gujarat,Sabarkantha,Idar
195,Gujarat,Sabarkantha,Prantij
196,Gujarat,Sabarkantha,Talod
197,Gujarat,Sabarkantha,Khedbrahma
198,Gujarat,Sabarkantha,Poshina
199,Gujarat,Sabarkantha,Vadali
200,Gujarat,Sabarkantha,Vijaynagar
201,Gujarat,Surat,Udhna
202,Gujarat,Surat,Majura
203,Gujarat,Surat,Katargam
204,Gujarat,Surat,Adajan
205,Gujarat,Surat,Puna
5792,Tamil Nadu,Kodai Kanol,Kodai Kanol
207,Gujarat,Surat,Olpad
208,Gujarat,Surat,Mangrol
209,Gujarat,Surat,Umarpada
210,Gujarat,Surat,Mandvi
211,Gujarat,Surat,Bardoli
212,Gujarat,Surat,Mahuva
213,Gujarat,Surat,Kamrej
214,Gujarat,Surat,Palsana
215,Gujarat,Surendranagar,Chuda
216,Gujarat,Surendranagar,Chotila
217,Gujarat,Surendranagar,Dhrangadhra
218,Gujarat,Surendranagar,Lakhtar
219,Gujarat,Surendranagar,Limbdi
220,Gujarat,Surendranagar,Muli
221,Gujarat,Surendranagar,Patdi
222,Gujarat,Surendranagar,Sayla
223,Gujarat,Surendranagar,Thangadh
224,Gujarat,Surendranagar,Wadhwan
225,Gujarat,Tapi,Vyara
226,Gujarat,Tapi,Songadh
227,Gujarat,Tapi,Valod
228,Gujarat,Tapi,Uchchhal
229,Gujarat,Tapi,Dolvan
230,Gujarat,Tapi,Kukarmunda
231,Gujarat,Tapi,Nizar
232,Gujarat,Vadodara,Savli
233,Gujarat,Vadodara,Waghodia
234,Gujarat,Vadodara,Dabhoi
235,Gujarat,Vadodara,Padra
236,Gujarat,Vadodara,Karjan
237,Gujarat,Vadodara,Shinor
238,Gujarat,Vadodara,Desar
239,Gujarat,Valsad,Vapi
240,Gujarat,Valsad,Pardi
241,Gujarat,Valsad,Umargam
242,Gujarat,Valsad,Kaprada
243,Gujarat,Valsad,Dharampur
244,Gujarat,Ahmedabad,Ahmedabad
245,Gujarat,Rajkot,Rajkot
246,Gujarat,Jamnagar,Jamnagar
247,Gujarat,Patan,Patan
248,Gujarat,Vadodara,Vadodara
249,Gujarat,Surat,Surat
251,Gujarat,Bhavnagar,Bhavnagar
252,Gujarat,Anand,Vallabh Vidyanagar
253,Gujarat,Gandhinagar,Gandhinagar
254,Gujarat,Porbandar,Porbandar
255,Gujarat,Valsad,Valsad
256,Gujarat,Bharuch,Bharuch
118,Gujarat,Kheda,Mahemdabad
257,Gujarat,Kheda,Kheda
258,Dadra and Nagar Haveli,Silvassa,Silvassa
259,Gujarat,Navsari,Navsari
166,Gujarat,Panchmahal,Shehera
260,Gujarat,Morbi,Morbi
261,Gujarat,Botad,Botad
262,Gujarat,Sabarkantha,Sabarkantha
263,Gujarat,Surendranagar,Surendranagar
264,Daman and Diu,Daman,Daman
265,Daman and Diu,Diu,Diu
266,Gujarat,Tapi,Tapi
267,Gujarat,Chhota Udepur,Chhota Udepur
268,Gujarat,Devbhumi Dwarka,Devbhumi Dwarka
269,Gujarat,Kutch,Kutch
270,Gujarat,Banaskantha,Banaskantha
271,Dadra and Nagar Haveli,Dadra ,Dadra
272,Gujarat,Panchmahal,Panchmahal
273,Gujarat,Kutch,Adipur
274,Gujarat,Devbhumi Dwarka,Okhamandal
206,Gujarat,Surat,Choryasi
275,Gujarat,Aravalli,Aravalli
276,Gujarat,Gir Somnath,Gir Somnath
277,Gujarat,Mahisagar,Mahisagar
278,Gujarat,Narmada,Narmada
279,Maharashtra,Mumbai Suburban,Andheri
280,Maharashtra,Nashik,Nashik
281,Maharashtra,Nagpur,Nagpur
282,Maharashtra,Nanded,Nanded
283,Maharashtra,Dhule,Dhule
284,Maharashtra,Nandurbar,SHAHADA
285,Maharashtra,Chatrapati Sambhaji Nagar,Paithan
286,Maharashtra,Amravati,Amravati
287,Madhya Pradesh,Chhindwara,Sausar
288,Rajasthan,Jhunjhunu,Navalgadh
289,Jammu and Kashmir,Jammu district,Nagrota
290,Maharashtra,Mumbai City,Dadar
291,Gujarat,Banaskantha,LAKHANI
292,Rajasthan,Jalore,Sanchore
293,Maharashtra,Chatrapati Sambhaji Nagar,Chatrapati Sambhaji Nagar
294,Maharashtra,Jalgaon,Jalgaon
295,Tamil Nadu,Ariyalur,Ariyalur
296,Tamil Nadu,Ariyalur,Sendurai
297,Tamil Nadu,Ariyalur,Ariyalur
298,Tamil Nadu,Ariyalur,Udayarpalayam
299,Tamil Nadu,Chengalpattu,Chengalpattu
300,Tamil Nadu,Chennai,Chennai
301,Tamil Nadu,Chennai,Egmore Numgambakkam
302,Tamil Nadu,Chennai,Mylapore Triplicane
303,Tamil Nadu,Chennai,Mambalam Guindy
304,Tamil Nadu,Chennai,Fort Tondiarpet
305,Tamil Nadu,Chennai,Perambur Purasaivakkam
306,Tamil Nadu,Coimbatore,Coimbatore
307,Tamil Nadu,Coimbatore,Mettupalayam
308,Tamil Nadu,Coimbatore,Avanashi
309,Tamil Nadu,Coimbatore,Tiruppur
310,Tamil Nadu,Coimbatore,Palladam
311,Tamil Nadu,Coimbatore,Coimbatore North
312,Tamil Nadu,Coimbatore,Coimbatore South
313,Tamil Nadu,Coimbatore,Pollachi
314,Tamil Nadu,Coimbatore,Udumalaipettai
315,Tamil Nadu,Coimbatore,Valparai
316,Tamil Nadu,Cuddalore,Cuddalore
317,Tamil Nadu,Cuddalore,Panruti
318,Tamil Nadu,Cuddalore,Cuddalore
319,Tamil Nadu,Cuddalore,Chidambaram
320,Tamil Nadu,Cuddalore,Kattumannarkoil
321,Tamil Nadu,Cuddalore,Virudhachalam
322,Tamil Nadu,Cuddalore,Tittakudi
323,Tamil Nadu,Dharmapuri,Dharmapuri
324,Tamil Nadu,Dharmapuri,Hosur
325,Tamil Nadu,Dharmapuri,Krishnagiri
326,Tamil Nadu,Dharmapuri,Denkanikottai
327,Tamil Nadu,Dharmapuri,Palakkodu
328,Tamil Nadu,Dharmapuri,Pochampalli
329,Tamil Nadu,Dharmapuri,Uthangarai
330,Tamil Nadu,Dindigul,Dindigul
331,Tamil Nadu,Dindigul,Palani
332,Tamil Nadu,Dindigul,Oddanchatram
333,Tamil Nadu,Dindigul,Vedasandur
334,Tamil Nadu,Dindigul,Natham
5793,Tamil Nadu,Muthuramalingam,Muthuramalingam
5794,Tamil Nadu,Periyar,Periyar
